"Date/Time","Internal Natural vent.","Mech Vent + Nat Vent + Infiltration","External Infiltration","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Miscellaneous","Computer + Equip","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","ac/h","kW","%","","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","°C",
"02.01.2002 09:00:00","-14.35359","0.2386016","-31.49186","34.11969","-0.8028672","64.78524","24.54058","2.114594","4.321611","3.598946","2.501949","57.45714","0","17.12381","16.32715","16.72548","6.436205","24.54058","38.06084","76.21793","76.21793","7.084055","6.7",
"02.01.2002 10:00:00","-14.08703","0.2496058","-30.22085","33.86191","-0.7940633","59.50011","24.54058","2.114594","6.482417","5.398419","13.13128","48.64694","0","17.12381","16.43202","16.77791","8.59701","24.54058","43.76367","70.00013","70.00013","10.62608","6.8875",
"02.01.2002 11:00:00","-13.68865","0.2581266","-28.01307","33.99915","-0.7818416","52.02943","24.54058","2.114594","8.643223","7.197893","23.07673","37.9214","0","17.12381","16.56666","16.84524","10.75782","24.54058","49.46651","61.21109","61.21109","14.16811","7.25",
"02.01.2002 12:00:00","-13.36522","0.2530153","-26.3722","34.28376","-0.7704346","45.53441","24.54058","2.114594","8.643223","7.197893","25.64862","31.70373","0","17.12381","16.68344","16.90362","10.75782","24.54058","49.46651","53.5699","53.5699","14.16811","7.525",
"02.01.2002 13:00:00","-13.30033","0.2221107","-26.01828","34.57266","-0.7638547","42.29257","24.54058","2.114594","4.321611","3.598946","20.36337","35.41665","0","17.12381","16.73965","16.93173","6.436205","24.54058","38.06084","49.75596","49.75596","7.084055","7.6",
"02.01.2002 14:00:00","-13.35054","0.2378233","-26.10554","34.76325","-0.75874","41.45001","24.54058","2.114594","6.482417","5.398419","18.61789","31.13637","0","17.12381","16.78536","16.95459","8.59701","24.54058","43.76367","48.76471","48.76471","10.62608","7.6",
"02.01.2002 15:00:00","-13.37812","0.2530395","-26.33636","35.07266","-0.754357","41.29969","24.54058","2.114594","8.643223","7.197893","15.48112","27.47909","0","17.12381","16.81425","16.96903","10.75782","24.54058","49.46651","48.58787","48.58787","14.16811","7.5375",
"02.01.2002 16:00:00","-13.45305","0.2542512","-26.84608","35.55037","-0.7522781","42.3328","24.54058","2.114594","8.643223","7.197893","8.39813","28.40665","0","17.12381","16.80426","16.96404","10.75782","24.54058","49.46651","49.8033","49.8033","14.16811","7.4375",
"02.01.2002 17:00:00","-13.671","0.227596","-28.10624","35.91423","-0.7537705","44.47947","24.54058","2.114594","4.321611","3.598946","0.9758438","37.40033","0","17.12381","16.75718","16.9405","6.436205","24.54058","38.06084","52.32879","52.32879","7.084055","7.2125",
"02.01.2002 18:00:00","-13.87721","0.2161057","-29.88149","36.38254","-0.7548544","47.32436","24.54058","2.114594","2.160806","1.799473","0","43.68687","0","17.12381","16.72071","16.92226","4.275399","24.54058","32.35801","55.67571","55.67571","3.542028","6.85",
"02.01.2002 19:00:00","-14.30839","0.2081023","-32.59602","37.16389","-0.7563905","51.7037","24.54058","2.114594","1.080403","0","0","51.7037","0","17.12381","16.66351","16.89366","3.194996","24.54058","27.73558","60.82788","60.82788","0","6.3875",
"02.01.2002 20:00:00","-8.998307","0.2094429","-33.38741","38.32611","-0.7950417","41.20577","0","2.114594","1.080403","0","0","41.20576","0","16.75361","16.58373","16.66867","3.194996","0","3.194996","48.47738","48.47738","0","6.2",
"02.01.2002 21:00:00","-6.353941","0.2087537","-33.92847","39.17093","-0.8356069","41.67206","0","2.114594","1.080403","0","0","41.67206","0","16.5693","16.50598","16.53764","3.194996","0","3.194996","49.02595","49.02595","0","6.0125",
"02.01.2002 22:00:00","-5.609283","0.210746","-35.33323","40.3639","-0.8510523","43.75405","0","2.114594","1.080403","0","0","43.75405","0","16.51204","16.41942","16.46573","3.194996","0","3.194996","51.47535","51.47535","0","5.7125",
"02.01.2002 23:00:00","-5.267311","0.2164446","-37.40997","41.62113","-0.8583819","46.67915","0","2.114594","1.080403","0","0","46.67915","0","16.47802","16.33882","16.40842","3.194996","0","3.194996","54.91665","54.91665","0","5.4125",
"03.01.2002","-4.968381","0.2217435","-39.47867","42.5098","-0.8657939","49.65012","0","2.114594","1.080403","0","0","49.65012","0","16.44924","16.26299","16.35612","3.194996","0","3.194996","58.41191","58.41191","0","5.1125",
"03.01.2002 01:00:00","-4.64134","0.2245889","-40.67011","43.21688","-0.8730138","51.69624","0","2.114594","1.080403","0","0","51.69624","0","16.42313","16.19293","16.30803","3.194996","0","3.194996","60.81911","60.81911","0","4.9375",
"03.01.2002 02:00:00","-4.3544","0.2253653","-40.96333","43.73435","-0.8799964","53.02703","0","2.114594","1.080403","0","0","53.02708","0","16.40271","16.12898","16.26585","3.194996","0","3.194996","62.38474","62.38474","0","4.9",
"03.01.2002 03:00:00","-4.345539","0.2266431","-41.45173","44.0696","-0.8847339","55.21992","0","2.114594","1.080403","0","0","55.21992","0","16.40051","16.07005","16.23528","3.194996","0","3.194996","64.96461","64.96461","0","4.8375",
"03.01.2002 04:00:00","-4.360653","0.2274545","-41.75948","44.28059","-0.8887295","57.05599","0","2.114594","1.080403","0","0","57.05599","0","16.40051","16.01654","16.20853","3.194996","0","3.194996","67.12468","67.12468","0","4.8",
"03.01.2002 05:00:00","-4.363646","0.2275673","-41.79197","44.42842","-0.8925919","58.40636","0","2.114594","1.080403","0","0","58.40636","0","16.40051","15.96772","16.18412","3.194996","0","3.194996","68.71336","68.71336","0","4.8",
"03.01.2002 06:00:00","-15.54535","0.2325291","-42.61313","42.87564","-0.8228545","107.9967","0","2.114594","1.080403","0","0","105.7993","0","17.10149","15.98244","16.54196","3.194996","0","3.194996","127.0549","127.0549","0","4.8625",
"03.01.2002 07:00:00","-15.91575","0.2325226","-42.49348","42.93186","-0.790567","97.14783","0","2.114594","1.080403","0","0","97.14782","0","17.12381","16.03064","16.57723","3.194996","0","3.194996","114.2916","114.2916","0","4.9",
"03.01.2002 08:00:00","-15.95992","0.24817","-42.61349","42.97601","-0.7838082","85.93643","24.54058","2.114594","2.160806","1.799473","0","81.79908","0","17.12381","16.08792","16.60586","4.275399","24.54058","32.35801","101.1017","101.1017","3.542028","4.9",
"03.01.2002 09:00:00","-15.75453","0.2598238","-41.01645","42.91045","-0.7751711","81.02369","24.54058","2.114594","4.321611","3.598946","8.703831","72.88","0","17.12381","16.17348","16.64865","6.436205","24.54058","38.06084","95.32198","95.32198","7.084055","5.15",
"03.01.2002 10:00:00","-14.33778","0.251956","-31.58738","42.8288","-0.7409527","57.26947","24.54058","2.114594","6.482417","5.398419","65.77768","46.23003","0","17.12381","16.56949","16.84665","8.59701","24.54058","43.76367","67.37585","67.37585","10.62608","6.675",
"03.01.2002 11:00:00","-12.57658","0.2393982","-21.62653","42.57946","-0.6987113","24.44633","24.54058","2.114594","8.643223","7.197893","113.8962","11.8454","-0.1768551","17.13793","17.12184","17.12989","10.75782","24.54058","49.46651","28.76039","28.76039","14.16811","8.5625",
"03.01.2002 12:00:00","-10.82149","0.2186563","-15.59667","41.73015","-0.6710456","11.02688","24.54058","2.114594","8.643223","7.197893","102.4291","3.19171","-3.389757","17.23551","17.41265","17.32408","10.75782","24.54058","49.46651","12.9728","12.9728","14.16811","10.075",
"03.01.2002 13:00:00","-9.540224","0.1743","-12.02463","40.84782","-0.6505716","5.756033","24.54058","2.114594","4.321611","3.598946","84.4977","1.594795","-0.8911564","17.35496","17.55907","17.45701","6.436205","24.54058","38.06084","6.771804","6.771804","7.084055","11.1625",
"03.01.2002 14:00:00","-8.643485","0.1795921","-10.06977","40.02756","-0.6187087","0.492627","24.54058","2.114594","6.482417","5.396643","90.29604","8.757719E-02","-6.654422","17.51304","17.80047","17.65676","8.59701","24.54058","43.76367","0.579561","0.579561","10.62608","11.875",
"03.01.2002 15:00:00","-8.808472","0.1941211","-9.890017","39.22186","-0.5711453","0","24.54058","2.114594","8.643223","7.105526","92.51236","0","-9.461713","17.76975","18.0442","17.90698","10.75782","24.54058","49.46651","0","0","14.16811","12.1625",
"03.01.2002 16:00:00","-9.542561","0.2043369","-11.47865","38.6613","-0.5526224","0","24.54058","2.114594","8.643223","7.023018","61.55621","0","-9.887359","17.84234","18.07513","17.95873","10.75782","24.54058","49.46651","0","0","14.16811","11.8875",
"03.01.2002 17:00:00","-10.22457","0.1883558","-14.46303","38.54431","-0.6015373","2.673161","24.54058","2.114594","4.321611","3.547068","3.738925","2.674646","-5.259496","17.57755","17.76908","17.67331","6.436205","24.54058","38.06084","3.144895","3.144895","7.084055","10.95",
"03.01.2002 18:00:00","-10.9081","0.1810711","-16.84214","38.32946","-0.6462083","8.205107","24.54058","2.114594","2.160806","1.799217","0","6.345858","-0.9477372","17.36721","17.57761","17.47241","4.275399","24.54058","32.35801","9.653067","9.653067","3.542028","10.0625",
"03.01.2002 19:00:00","-11.71254","0.1709906","-18.57807","37.99701","-0.6675087","11.80793","24.54058","2.114594","1.080403","0","0","11.80793","0","17.26966","17.44152","17.35559","3.194996","24.54058","27.73558","13.89168","13.89168","0","9.425",
"03.01.2002 20:00:00","-9.128668","0.175887","-20.61722","38.29626","-0.7111914","13.24214","0","2.114594","1.080403","0","0","13.24303","0","16.95163","17.28073","17.11618","3.194996","0","3.194996","15.57898","15.57898","0","8.7625",
"03.01.2002 21:00:00","-7.56404","0.1843947","-23.71331","38.20787","-0.7554498","21.33147","0","2.114594","1.080403","0","0","21.33147","0","16.77501","17.12759","16.9513","3.194996","0","3.194996","25.09585","25.09585","0","8.0625",
"03.01.2002 22:00:00","-7.168794","0.1938729","-27.23631","37.90104","-0.7805639","26.58927","0","2.114594","1.080403","0","0","26.58927","0","16.70502","16.99648","16.85075","3.194996","0","3.194996","31.2815","31.2815","0","7.3625",
"03.01.2002 23:00:00","-6.946975","0.2039521","-31.08264","37.62389","-0.7999568","32.00302","0","2.114594","1.080403","0","0","32.00302","0","16.64766","16.87998","16.76382","3.194996","0","3.194996","37.6506","37.6506","0","6.6625",
"04.01.2002","-6.680437","0.2142963","-35.21853","37.35231","-0.8184096","37.3004","0","2.114594","1.080403","0","0","37.3004","0","16.5898","16.77215","16.68097","3.194996","0","3.194996","43.88282","43.88282","0","5.9625",
"04.01.2002 01:00:00","-6.357074","0.2270031","-40.53643","36.92912","-0.8376133","43.98182","0","2.114594","1.080403","0","0","43.98187","0","16.53277","16.66653","16.59965","3.194996","0","3.194996","51.74332","51.74332","0","5.1375",
"04.01.2002 02:00:00","-6.117719","0.2421516","-47.55797","36.11856","-0.8558502","52.9619","0","2.114594","1.080403","0","0","52.9619","0","16.49343","16.56153","16.52748","3.194996","0","3.194996","62.30812","62.30812","0","4.1125",
"04.01.2002 03:00:00","-5.851061","0.256949","-55.09705","35.02037","-0.8743213","62.45321","0","2.114594","1.080403","0","0","62.45321","0","16.4578","16.45744","16.45762","3.194996","0","3.194996","73.47437","73.47437","0","3.075",
"04.01.2002 04:00:00","-5.484905","0.2668986","-60.6985","33.72187","-0.8930159","69.85773","0","2.114594","1.080403","0","0","69.85773","0","16.42548","16.35806","16.39177","3.194996","0","3.194996","82.18557","82.18557","0","2.325",
"04.01.2002 05:00:00","-5.192654","0.2740227","-65.17546","32.54802","-0.9102162","76.41984","0","2.114594","1.080403","0","0","76.41986","0","16.4022","16.26453","16.33336","3.194996","0","3.194996","89.90569","89.90569","0","1.725",
"04.01.2002 06:00:00","-18.98172","0.2876842","-71.55949","30.57236","-0.8492026","135.6949","0","2.114594","1.080403","0","0","133.4813","0","17.10079","16.23375","16.66727","3.194996","0","3.194996","159.6411","159.6411","0","1.125",
"04.01.2002 07:00:00","-19.84026","0.2940634","-75.60387","29.65172","-0.8244225","130.257","0","2.114594","1.080403","0","0","130.257","0","17.12381","16.24008","16.68195","3.194996","0","3.194996","153.2435","153.2435","0","0.65",
"04.01.2002 08:00:00","-20.14326","0.3138568","-78.93768","28.76877","-0.8249549","125.2489","24.54058","2.114594","2.160806","1.799473","0","119.9399","0","17.12381","16.25919","16.6915","4.275399","24.54058","32.35801","147.3516","147.3516","3.542028","0.25",
"04.01.2002 09:00:00","-20.16688","0.32932","-79.53276","28.06008","-0.8221925","125.2725","24.54058","2.114594","4.321611","3.598946","9.352784","114.6081","0","17.12381","16.31137","16.71759","6.436205","24.54058","38.06084","147.3794","147.3794","7.084055","0.1625",
"04.01.2002 10:00:00","-19.23845","0.3293385","-70.48424","27.74321","-0.786997","102.5165","24.54058","2.114594","6.482417","5.398419","79.92077","87.308","0","17.12381","16.73876","16.93129","8.59701","24.54058","43.76367","120.6077","120.6077","10.62608","1.2",
"04.01.2002 11:00:00","-17.83616","0.3218574","-57.64264","27.90041","-0.7299739","54.43114","24.54058","2.114594","8.643223","7.197893","162.5016","35.84275","-6.013046E-02","17.12381","17.48514","17.30448","10.75782","24.54058","49.46651","64.03664","64.03664","14.16811","2.8",
"04.01.2002 12:00:00","-16.50081","0.3009991","-46.90583","28.13871","-0.6951374","25.27944","24.54058","2.114594","8.643223","7.197893","155.5839","11.54801","-3.407619","17.13687","17.87666","17.50676","10.75782","24.54058","49.46651","29.74051","29.74051","14.16811","4.275",
"04.01.2002 13:00:00","-15.37411","0.2558275","-39.95115","28.13761","-0.6693764","12.82192","24.54058","2.114594","4.321611","3.598946","139.6102","5.966611","-1.157482","17.22059","18.07015","17.64537","6.436205","24.54058","38.06084","15.08461","15.08461","7.084055","5.3625",
"04.01.2002 14:00:00","-14.66753","0.2635912","-36.84632","28.27656","-0.6371632","8.408673","24.54058","2.114594","6.482417","5.398419","125.4472","3.93744","-7.098507","17.32412","18.27956","17.80184","8.59701","24.54058","43.76367","9.892556","9.892556","10.62608","5.95",
"04.01.2002 15:00:00","-14.60704","0.278853","-36.74292","28.55457","-0.5975414","4.829651","24.54058","2.114594","8.643223","7.197893","133.4084","2.234669","-12.7437","17.42905","18.5431","17.98607","10.75782","24.54058","49.46651","5.681942","5.681942","14.16811","6.0375",
"04.01.2002 16:00:00","-15.27869","0.2867364","-39.70813","28.78415","-0.5957798","8.315078","24.54058","2.114594","8.643223","7.197893","86.33083","5.504576","-13.01513","17.4095","18.48459","17.94704","10.75782","24.54058","49.46651","9.782445","9.782445","14.16811","5.5625",
"04.01.2002 17:00:00","-16.53786","0.2711041","-46.15407","28.9572","-0.6508489","31.31475","24.54058","2.114594","4.321611","3.598946","6.203664","27.13673","-4.282681","17.2467","18.01039","17.62854","6.436205","24.54058","38.06084","36.84089","36.84089","7.084055","4.4875",
"04.01.2002 18:00:00","-17.12733","0.2654493","-50.99022","28.7474","-0.682451","45.35358","24.54058","2.114594","2.160806","1.799473","0","40.93455","0","17.20437","17.74178","17.47308","4.275399","24.54058","32.35801","53.35716","53.35716","3.542028","3.75",
"04.01.2002 19:00:00","-17.41086","0.2552625","-53.96347","28.89514","-0.6988602","51.53713","24.54058","2.114594","1.080403","0","0","51.53713","0","17.19105","17.56287","17.37696","3.194996","24.54058","27.73558","60.63193","60.63193","0","3.2875",
"04.01.2002 20:00:00","-12.71064","0.2602718","-57.16467","29.68528","-0.7408457","53.22696","0","2.114594","1.080403","0","0","53.22702","0","16.90361","17.36916","17.13639","3.194996","0","3.194996","62.61995","62.61995","0","2.7875",
"04.01.2002 21:00:00","-10.08881","0.2648047","-60.10118","30.30348","-0.7846793","58.46589","0","2.114594","1.080403","0","0","58.46589","0","16.73551","17.18824","16.96187","3.194996","0","3.194996","68.78339","68.78339","0","2.35",
