"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Computer + Equip","Occupancy","Solar Gains Interior Windows","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","Cooling (Electricity)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","kW","ac/h","kW","kW","%","","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","kW","°C",
"04.01.2002 06:00:00","-0.149915","0","0.3092664","-86.25397","0","23.49004","-1.075872","254.2517","0","7.473166","0","0","0","242.2491","0","20.86139","18.52757","19.69448","7.473166","0","7.473166","299.1196","299.1196","0","0","1.125",
"04.01.2002 07:00:00","0.000002","0","0.3201437","-92.04745","0","22.65578","-0.9252025","183.5853","0","7.473166","0","0","0","183.5853","0","21","18.76686","19.88343","7.473166","0","7.473166","215.9827","215.9827","0","0","0.65",
"04.01.2002 08:00:00","0","0","0.4864297","-105.805","0","22.13876","-0.8871626","134.1806","169.7476","14.94633","12.44699","0","0","105.243","-7.805851","21","19.15195","20.07597","14.94633","169.7476","203.9442","157.8595","157.8595","0","19.25021","0.25",
"04.01.2002 09:00:00","0","0","0.6125903","-106.4468","0","22.09486","-0.8545308","137.2112","169.7476","29.89266","24.89397","0.521302","15.40566","83.76453","-20.36387","21","19.46275","20.23137","29.89266","169.7476","238.1407","161.4249","161.4249","0","38.50042","0.1625",
"04.01.2002 10:00:00","-0.00295","0","0.7254543","-97.64535","0","22.74179","-0.8103589","122.6304","169.7476","44.83899","37.34096","1.653486","37.78444","56.62921","-39.24047","21.00037","19.84204","20.42121","44.83899","169.7476","272.3372","144.271","144.271","0","57.75063","1.2",
"04.01.2002 11:00:00","-0.054023","0","0.8322405","-84.91771","0","23.98045","-0.7691963","101.348","169.7476","59.78532","49.78271","2.258987","47.9777","30.97236","-58.69332","21.0071","20.15015","20.57863","59.78532","169.7476","306.5338","119.2329","119.2329","0","77.00083","2.8",
"04.01.2002 12:00:00","-0.441577","0","0.8155043","-74.05257","0","24.87208","-0.7301232","75.19514","169.7476","59.78532","49.67232","2.424562","55.58366","19.65055","-63.53811","21.06996","20.38751","20.72874","59.78532","169.7476","306.5338","88.46487","88.46487","0","77.00083","4.275",
"04.01.2002 13:00:00","-1.472087","0","0.5527381","-66.69881","0","24.84352","-0.6910116","51.18485","169.7476","29.89266","24.6541","2.537891","62.66247","25.59144","-30.74557","21.25271","20.54081","20.89676","29.89266","169.7476","238.1407","60.21747","60.21747","0","38.50042","5.3625",
"04.01.2002 14:00:00","-1.89003","0","0.6726683","-62.92012","0","25.13405","-0.6597925","46.51913","169.7476","44.83899","36.77732","2.251871","52.74635","13.9724","-49.18898","21.31417","20.67979","20.99698","44.83899","169.7476","272.3372","54.72839","54.72839","0","57.75063","5.95",
"04.01.2002 15:00:00","-1.786124","0","0.7984822","-62.47902","0","25.83021","-0.6426625","45.89472","169.7476","59.78532","49.0457","2.1938","47.97341","6.281457","-68.67754","21.3022","20.80003","21.05112","59.78532","169.7476","306.5338","53.9938","53.9938","0","77.00083","6.0375",
